date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:36	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Apr%202017%2020:24:40%20GMT	http://sohelrana.me/robots.txt		(from )
20:24:37	45907/45907	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:47%20GMT	http://sohelrana.me/hotel/default/	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/index.html	(from )
20:24:39	121289/121289	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:42:58%20GMT	http://sohelrana.me/hotel/default/css/bootstrap.min.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/bootstrap.min.css	(from http://sohelrana.me/hotel/default/)
20:24:40	55258/55258	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:42:58%20GMT	http://sohelrana.me/hotel/default/css/animate.min.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/animate.min.css	(from http://sohelrana.me/hotel/default/)
20:24:42	4165/4165	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:43:00%20GMT	http://sohelrana.me/hotel/default/css/slider.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/slider.css	(from http://sohelrana.me/hotel/default/)
20:24:42	27466/27466	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:45:06%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css	(from http://sohelrana.me/hotel/default/)
20:24:42	2897/2897	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:44:56%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/flaticon.css	(from http://sohelrana.me/hotel/default/)
20:24:44	71077/71077	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:43:01%20GMT	http://sohelrana.me/hotel/default/css/style.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/style.css	(from http://sohelrana.me/hotel/default/)
20:24:45	518/518	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:42:59%20GMT	http://sohelrana.me/hotel/default/css/ie10-viewport-bug-workaround.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/ie10-viewport-bug-workaround.css	(from http://sohelrana.me/hotel/default/)
20:24:45	5479/5479	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2018:42:59%20GMT	http://sohelrana.me/hotel/default/css/flatpickr.min.css	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flatpickr.min.css	(from http://sohelrana.me/hotel/default/)
20:24:45	2247/2247	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:07%20GMT	http://sohelrana.me/hotel/default/js/ie-emulation-modes-warning.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/ie-emulation-modes-warning.js	(from http://sohelrana.me/hotel/default/)
20:24:46	45907/45907	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:47%20GMT	http://sohelrana.me/hotel/default/index.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/index-2.html	(from http://sohelrana.me/hotel/default/)
20:24:47	6970/6970	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2018:44:08%20GMT	http://sohelrana.me/hotel/default/img/logo.png	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/logo.png	(from http://sohelrana.me/hotel/default/)
20:24:48	50400/50400	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:48%20GMT	http://sohelrana.me/hotel/default/index-2.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/index-3.html	(from http://sohelrana.me/hotel/default/)
20:24:50	74290/74290	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:40%20GMT	http://sohelrana.me/hotel/default/rooms-list.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/rooms-list.html	(from http://sohelrana.me/hotel/default/)
20:24:50	74308/74308	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:42%20GMT	http://sohelrana.me/hotel/default/rooms-list-2.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/rooms-list-2.html	(from http://sohelrana.me/hotel/default/)
20:24:52	66990/66990	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:42%20GMT	http://sohelrana.me/hotel/default/rooms-grid.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/rooms-grid.html	(from http://sohelrana.me/hotel/default/)
20:24:54	67031/67031	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:44%20GMT	http://sohelrana.me/hotel/default/rooms-grid-2.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/rooms-grid-2.html	(from http://sohelrana.me/hotel/default/)
20:24:56	48756/48756	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:44%20GMT	http://sohelrana.me/hotel/default/rooms-details.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/rooms-details.html	(from http://sohelrana.me/hotel/default/)
20:24:57	6339/6339	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:45%20GMT	http://sohelrana.me/hotel/default/login.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/login.html	(from http://sohelrana.me/hotel/default/)
20:24:58	24195/24195	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:39%20GMT	http://sohelrana.me/hotel/default/service.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/service.html	(from http://sohelrana.me/hotel/default/)
20:24:59	22526/22526	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:38%20GMT	http://sohelrana.me/hotel/default/shopping-cart.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/shopping-cart.html	(from http://sohelrana.me/hotel/default/)
20:25:00	27326/27326	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:51%20GMT	http://sohelrana.me/hotel/default/checkout.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/checkout.html	(from http://sohelrana.me/hotel/default/)
20:25:01	20838/20838	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:46%20GMT	http://sohelrana.me/hotel/default/invoice.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/invoice.html	(from http://sohelrana.me/hotel/default/)
